model,dataset,attack,baseline_kind,variant_kind,n_baseline,n_variant,mean_asr_baseline,std_asr_baseline,mean_asr_variant,std_asr_variant,delta_asr,t_statistic,p_value_ttest,p_value_kruskal,significant_at_0.05,effect_size_abs
XceptionNet,Cifar100_epochs100_pretrain300,APGD,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.935,,0.9408,,0.005799999999999916,,,,False,0.005799999999999916
XceptionNet,Cifar100_epochs100_pretrain300,APGD,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.935,,0.9392,,0.0041999999999999815,,,,False,0.0041999999999999815
XceptionNet,Cifar100_epochs100_pretrain300,BIM,Control_Continuted,Dynamic_Region_All_Combined,2,2,0.6348,0.0,0.6352,0.0,0.00039999999999995595,inf,0.0,,True,0.00039999999999995595
XceptionNet,Cifar100_epochs100_pretrain300,BIM,Control_Continuted,Dynamic_Region_All_Combined_quant,2,2,0.6348,0.0,0.6407,0.0,0.005900000000000016,inf,0.0,,True,0.005900000000000016
XceptionNet,Cifar100_epochs100_pretrain300,CW,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.9425,,0.9945,,0.052000000000000046,,,,False,0.052000000000000046
XceptionNet,Cifar100_epochs100_pretrain300,CW,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.9425,,0.9922,,0.049699999999999966,,,,False,0.049699999999999966
XceptionNet,Cifar100_epochs100_pretrain300,DeepFool,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.9314,,0.9289,,-0.0025000000000000577,,,,False,0.0025000000000000577
XceptionNet,Cifar100_epochs100_pretrain300,DeepFool,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.9314,,0.9307,,-0.0007000000000000339,,,,False,0.0007000000000000339
XceptionNet,Cifar100_epochs100_pretrain300,FGSM,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.8319,,0.8322,,0.000300000000000078,,,,False,0.000300000000000078
XceptionNet,Cifar100_epochs100_pretrain300,FGSM,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.8319,,0.8302,,-0.0016999999999999238,,,,False,0.0016999999999999238
XceptionNet,Cifar100_epochs100_pretrain300,PGD,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.9061,,0.914,,0.007900000000000018,,,,False,0.007900000000000018
XceptionNet,Cifar100_epochs100_pretrain300,PGD,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.9061,,0.9121,,0.006000000000000005,,,,False,0.006000000000000005
XceptionNet,Cifar10_epochs100_pretrain300,APGD,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.8452,,0.84,,-0.005199999999999982,,,,False,0.005199999999999982
XceptionNet,Cifar10_epochs100_pretrain300,APGD,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.8452,,0.8329,,-0.012299999999999978,,,,False,0.012299999999999978
XceptionNet,Cifar10_epochs100_pretrain300,BIM,Control_Continuted,Dynamic_Region_All_Combined,2,2,0.3355,0.0,0.3219499999999999,7.071067811864696e-05,-0.013550000000000118,-271.0000000000322,0.0023491397893253205,,True,0.013550000000000118
XceptionNet,Cifar10_epochs100_pretrain300,BIM,Control_Continuted,Dynamic_Region_All_Combined_quant,2,2,0.3355,0.0,0.3278,0.00014142135623725467,-0.00770000000000004,-77.00000000003052,0.008267324476537939,,True,0.00770000000000004
XceptionNet,Cifar10_epochs100_pretrain300,CW,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.9886,,0.9707,,-0.017900000000000027,,,,False,0.017900000000000027
XceptionNet,Cifar10_epochs100_pretrain300,CW,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.9886,,0.959,,-0.02960000000000007,,,,False,0.02960000000000007
XceptionNet,Cifar10_epochs100_pretrain300,DeepFool,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.7633,,0.7595000000000001,,-0.0037999999999999146,,,,False,0.0037999999999999146
XceptionNet,Cifar10_epochs100_pretrain300,DeepFool,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.7633,,0.7542,,-0.009099999999999997,,,,False,0.009099999999999997
